System,Version,Code,Display
urn:oid:1.2.840.114350.1.13.135.3.7.2.696580,339713,IMC PSYCH CLINIC REFERRAL
http://snomed.info/sct,2020-09,306068001,Referral by dietitian (procedure)
http://snomed.info/sct,2020-09,306069009,Referral by community-based dietitian (procedure)
http://snomed.info/sct,2020-09,306070005,Referral by hospital-based dietitian (procedure)
http://snomed.info/sct,2020-09,306163007,Referral to dietetics service (procedure)
http://snomed.info/sct,2020-09,306164001,Referral to community-based dietetics service (procedure)
http://snomed.info/sct,2020-09,306165000,Referral to hospital-based dietetics service (procedure)
http://snomed.info/sct,2020-09,306353006,Referral to community-based dietitian (procedure)
http://snomed.info/sct,2020-09,306354000,Referral to hospital-based dietitian (procedure)
http://snomed.info/sct,2020-09,408285001,Referral to pediatric dietitian (procedure)
http://snomed.info/sct,2020-09,416116000,Referral to home registered dietitian (procedure)
http://snomed.info/sct,2020-09,183844002,Refer for vascular studies (procedure)
http://snomed.info/sct,2020-09,183891009,Private referral to vascular surgeon (procedure)
http://snomed.info/sct,2020-09,306026001,Referral by vascular surgeon (procedure)
http://snomed.info/sct,2020-09,306934005,Referral to vascular surgery service (procedure)
http://snomed.info/sct,2020-09,307777008,Referral to vascular surgeon (procedure)
http://snomed.info/sct,2020-09,448751000,24109	Referral to interventional vascular radiology service (procedure)
http://snomed.info/sct,2020-09,448761000,24106	Referral to endovascular specialist (procedure)
http://snomed.info/sct,2020-09,183916004,Private referral to nephrologist (procedure)
http://snomed.info/sct,2020-09,305978006,Referral by nephrologist (procedure)
http://snomed.info/sct,2020-09,306125004,Referral to nephrology service (procedure)
http://snomed.info/sct,2020-09,306286007,Referral to nephrologist (procedure)
http://snomed.info/sct,2020-09,758598006,Referral to pediatric nephrologist (procedure)
http://snomed.info/sct,2020-09,306073007,Referral by social services department occupational therapist (procedure)
http://snomed.info/sct,2020-09,306090001,Referral by social worker (procedure)
http://snomed.info/sct,2020-09,306091002,Referral by social services department social worker (procedure)
http://snomed.info/sct,2020-09,306092009,Referral by social services department care manager (procedure)
http://snomed.info/sct,2020-09,306238000,Referral to Social Services (procedure)
http://snomed.info/sct,2020-09,306239008,Referral to social services department customer services (procedure)
http://snomed.info/sct,2020-09,306240005,Referral to social services department duty team (procedure)
http://snomed.info/sct,2020-09,306356003,Referral to social services department occupational therapist (procedure)
http://snomed.info/sct,2020-09,306366006,Referral to social services department social worker (procedure)
http://snomed.info/sct,2020-09,306367002,Referral to social services department care manager (procedure)
http://snomed.info/sct,2020-09,308440001,Referral to social worker (procedure)
http://snomed.info/sct,2020-09,309630000,Child referral-social services (procedure)
http://snomed.info/sct,2020-09,31751007,Social service referral of home patient (procedure)
http://snomed.info/sct,2020-09,428481000124106.Referral to clinical social worker (procedure)
http://snomed.info/sct,2020-09,444543005,Referral to social services for adult protection (procedure)
http://snomed.info/sct,2020-09,453691000124103,Referral to certified diabetes educator (procedure)
http://snomed.info/sct,2020-09,183917008,Referral by nurse (procedure)
http://snomed.info/sct,2020-09,281099003,Referral to nurse (procedure)
http://snomed.info/sct,2020-09,306027005,Referral by clinical nurse specialist (procedure)
http://snomed.info/sct,2020-09,306320001,Referral to clinical nurse specialist (procedure)
http://snomed.info/sct,2020-09,306338003,Referral to nurse practitioner (procedure)
http://snomed.info/sct,2020-09,698561001,Referral to nurse case manager (procedure)
http://snomed.info/sct,2020-09,698943000,Referral to nurse complex case manager (procedure)
http://snomed.info/sct,2020-09,306065003,Referral by podiatrist (procedure)
http://snomed.info/sct,2020-09,306066002,Referral by community-based podiatrist (procedure)
http://snomed.info/sct,2020-09,306067006,Referral by hospital-based podiatrist (procedure)
http://snomed.info/sct,2020-09,306160005,Referral to podiatry service (procedure)
http://snomed.info/sct,2020-09,306161009,Referral to community-based podiatry service (procedure)
http://snomed.info/sct,2020-09,306162002,Referral to hospital-based podiatry service (procedure)
http://snomed.info/sct,2020-09,306351008,Referral to community-based podiatrist (procedure)
http://snomed.info/sct,2020-09,306352001,Referral to hospital-based podiatrist (procedure)
http://snomed.info/sct,2020-09,308451001,Referral to podiatrist (procedure)
